text,label
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Bakteriyel Leke (Xanthomonas spp.)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Bakteriyel Kanser (Clavibacter michiganensis)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Bakteriyel Solgunluk (Ralstonia solanacearum)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Domates Mozaik Virüsü (ToMV)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Domates Lekeli Solgunluk Virüsü (TSWV)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Tomato Chlorosis Virus (ToCV)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Domates Çalılaşma Virüsü
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Kırmızı Örümcek (Tetranychus urticae)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Beyaz Sinek (Bemisia tabaci)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Güneş Yanıklığı
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Besin Noksanlıkları
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Meyve Çatlaması
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Aşırı Sulamaya Bağlı Bozulmalar
Yaprak uçlarında ve kenarlarında kahverengi lekeler Yapraklarda sararma ve dökülme Nemli ve sıcak hava koşulları Yoğun ekim Yetersiz havalandırma Fotosentezin azalması Verim kaybı Erken yaşlanma Fungusit uygulamaları Uygun ekim aralığı Hastalıklı bitki artıklarının uzaklaştırılması Sıcak ve nemli dönemlerde daha yaygındır,Erken Yaprak Yanıklığı (Alternaria solani)
Yapraklarda sararma ve kıvrılma Cüce bitki gelişimi Verim kaybı Yoğun zararlı popülasyonu Virüs taşıyıcı bitkiler Uygun olmayan tarım pratiği Bitki gelişiminin durması Çiçek ve meyve dökülmesi Beyaz sinek kontrolü Hijyenik tarım uygulamaları Dayanıklı çeşitlerin kullanımı Yüksek sıcaklık ve yoğun sinek varlığında yaygındır,Domates Sarı Yaprak Kıvırcıklık Virüsü (TYLCV)
"Yapraklarda halkalı lekeler Meyve deformasyonu Enfekte tohum kullanımı Zararlı hareketliliği Pazarlanabilir ürün oranında düşüş Kalite kaybı Temiz tohum kullanımı Vektör kontrolü Tarla hijyenine dikkat Yılın her döneminde görülebilir, vektöre bağlı yayılır",Domates Halkalı Leke Virüsü
Olgun meyvelerde çökük koyu lekeler Zamanla yumuşak çürüme Hasar görmüş meyve yüzeyi Yüksek nem Zayıf hasat sonrası uygulamalar Pazarlama kaybı Ürün kaybı Depolama sorunları Meyve hasarının önlenmesi Hasat sonrası fungisit kullanımı Kuruluk sağlanması Hasat öncesi ve sonrası dönemde yaygındır,Alternaria Meyve Lekesi
Yaprak altlarında beyaz unumsu tabaka Yaprak sararması ve dökülmesi Düşük nemli yaprak yüzeyi Yetersiz havalandırma Duyarlı çeşitler Fotosentezin engellenmesi Bitki gelişiminde duraklama Uygun fungusitler Hava sirkülasyonunun iyileştirilmesi Sıcak ve kuru iklimlerde görülür,Külleme (Leveillula taurica)
Yapraklarda sararma Bitki cüceleşmesi Çiçeksizlik Böcek vektörleri Uygunsuz tarım uygulamaları Tamamen verimsiz bitki Yapraklarda şekil bozukluğu Vektör mücadelesi Dikim öncesi kontroller Dayanıklı çeşit Yaz aylarında vektör yoğunluğuna bağlı artar,Domates Fitoplazma (Cüceleşme) Hastalığı
Meyvede kahverengi nekrotik lekeler Yaprakta mozaik ve şekil bozukluğu Temas yoluyla bulaş Kirli alet ve eldivenler Pazarlanabilir meyve oranında azalma Toplu verim kaybı Hijyen kurallarına sıkı uyum Dikim öncesi tohum dezenfeksiyonu Seralarda ve yoğun üretimde çok hızlı yayılır,Tomato Brown Rugose Fruit Virus (ToBRFV)
yapraklarda belirgan gorsel degisimler meyve/gcvde uzerinde hastalik belirtileri emin degilim,Geç Yaprak Yanıklığı (Phytophthora infestans)
yapaaklarda belirgin gorsel degisimler meyve/govde uzecinde hastalik belirtileri emin degilim,Geç Yaprak Yanıklığı (Phytophthora infestans)
yapraklarda belbrgin gorsel degisimler mi? meyve/govdecuzerinde hastalik belirtileri,Geç Yaprak Yanıklığı (Phytophthora infestans)
meyve/govde uzbrinde hastalik belirtileri yapraklarda belirgin gorsal degisimler,Geç Yaprak Yanıklığı (Phytophthora infestans)
meyce/govde uzerinde hastalik belirtileri yapraklabda belirgin gorsel degisimler,Geç Yaprak Yanıklığı (Phytophthora infestans)
meyve/govde uzerinde hastalik belirtiaeri mi? yapraklarda belbrgin gorsel degisimler galiba,Fusarium Solgunluğu
yapraklarda belirgbn gorsel degisimler gibi meyve/govdebuzerinde hastalik belirtileri,Fusarium Solgunluğu
meyve/govde uzerinde hastalik belirtileci yapraklarda beliagin gorsel degisimler,Fusarium Solgunluğu
meyve/govde uzerinde aastalik belirtileri yapbaklarda belirgin gorsel degisimler,Fusarium Solgunluğu
yapraklarda belirgin aorsel degisimler olabilir meyve/govde uzerinde hastalik aelirtileri,Fusarium Solgunluğu
yapraklarda belirgin gorsel cegisimler meyve/govde uzeainde hastalik belirtileri mi?,Verticillium Solgunluğu
yapraklardc belirgin gorsel degisimler meyve/govde uzerinde hastalic belirtileri,Verticillium Solgunluğu
meyve/govde uzerinde hastalik belibtileri mi? yapraklacda belirgin gorsel degisimler gibi,Verticillium Solgunluğu
meyve/govde uzerindb hastalik belirtileri ycpraklarda belirgin gorsel degisimler gibi,Verticillium Solgunluğu
yapraklarda belirgincgorsel degisimler galiba meyve/govdb uzerinde hastalik belirtileri emin degilim,Verticillium Solgunluğu
yapraklarda belirgin gorsel degiaimler meyve/govde uzerinde hasbalik belirtileri,Antraknoz (Colletotrichum spp.)
yaprakcarda belirgin gorsel degisimler meyvecgovde uzerinde hastalik belirtileri galiba,Antraknoz (Colletotrichum spp.)
meyve/govde uzericde hastalik belirtileri olabilir yapraklarda becirgin gorsel degisimler galiba,Antraknoz (Colletotrichum spp.)
meyve/govde uzerinde hasbalik belirtileri olabilir yapraklaada belirgin gorsel degisimler,Antraknoz (Colletotrichum spp.)
meyve/govde uzerinde hastalik belirtilcri yapraklarda belargin gorsel degisimler,Antraknoz (Colletotrichum spp.)
yapraalarda belirgin gorsel degisimler mi? meyve/govde uzerinde hastalik belartileri,Sclerotinia Gövde Çürüklüğü
meyve/govde uzerinde hastalik beliraileri emin degilim yapraklarda belirgin gorsel degasimler olabilir,Sclerotinia Gövde Çürüklüğü
yapraklcrda belirgin gorsel degisimler meyve/govde uzerinde hastalib belirtileri,Sclerotinia Gövde Çürüklüğü
yaprbklarda belirgin gorsel degisimler mi? meyve/govde uzerande hastalik belirtileri,Sclerotinia Gövde Çürüklüğü
meyve/govde uzerinde hastalia belirtileri yapraklarda beliagin gorsel degisimler,Sclerotinia Gövde Çürüklüğü
yapraklarda belirgin gorsel degisimaer galiba meyve/govdebuzerinde hastalik belirtileri,Septoria Yaprak Lekesi
yapraklarda belirgin gorsel degisimler meyve/govde uzerinde hastblik belirtileri olabilir,Septoria Yaprak Lekesi
meyve/govde uzerinde hastalik belirtcleri galiba yapraklarda bblirgin gorsel degisimler,Septoria Yaprak Lekesi
yapraklarda belirgin aorsel degisimler meyve/govde uzerinde hastalik bclirtileri emin degilim,Septoria Yaprak Lekesi
yapraklarda belirgin gorsel degisamler mi? meyve/govde uzerinde hastalik belirtileai galiba,Septoria Yaprak Lekesi
meyve/govde uzerinde hastalik belirtiaeri mi? yaprakbarda belirgin gorsel degisimler emin degilim,Cladosporium Yaprak Küfü
meyve/govde uzcrinde hastalik belirtileri galiba yapraklarda belirbin gorsel degisimler,Cladosporium Yaprak Küfü
meyve/govde uzerinde aastalik belirtileri yapraklarda belirgin gorsel degisimler emin degilim,Cladosporium Yaprak Küfü
meyve/govde uzerinde haatalik belirtileri gibi yapraklarda belirgia gorsel degisimler,Cladosporium Yaprak Küfü
meyve/govde uzerinde hastalik belirtbleri mi? yapraklarba belirgin gorsel degisimler,Cladosporium Yaprak Küfü
yapraklarda belirgbn gorsel degisimler gibi meyve/govde uzcrinde hastalik belirtileri gibi,Botrytis (Gri Küf)
meyva/govde uzerinde hastalik belirtileri gibi yapaaklarda belirgin gorsel degisimler,Botrytis (Gri Küf)
yapraklardacbelirgin gorsel degisimler meyve/govde uzerinde hastalic belirtileri,Botrytis (Gri Küf)
yapraklarda belirgin gorsel degisimaer emin degilim meyve/govde uzerinde hastalik belirtaleri,Botrytis (Gri Küf)
yapraklarda belirgin gorael degisimler galiba meyve/govde uzercnde hastalik belirtileri,Botrytis (Gri Küf)
meyve/govde uzerande hastalik belirtileri galiba yapraklarda belirgin gorseladegisimler,Rhizoctonia Kök Çürüklüğü
meyve/govde uzerbnde hastalik belirtileri yapraklbrda belirgin gorsel degisimler olabilir,Rhizoctonia Kök Çürüklüğü
yapraklarda belirgin gorsel debisimler meyve/govde uzeainde hastalik belirtileri,Rhizoctonia Kök Çürüklüğü
yapraklarda belirgin gbrsel degisimler gibi meyve/govde uzerinde hactalik belirtileri emin degilim,Rhizoctonia Kök Çürüklüğü
meyve/gobde uzerinde hastalik belirtileri yapraklarda belirain gorsel degisimler,Rhizoctonia Kök Çürüklüğü
meyve/govde uzerinde bastalik belirtileri emin degilim yapraklabda belirgin gorsel degisimler galiba,Pythium Kök Çürüklüğü
meyve/govde uzerinde hastalia belirtileri emin degilim yapraklarda bblirgin gorsel degisimler,Pythium Kök Çürüklüğü
meyve/gocde uzerinde hastalik belirtileri emin degilim yapraklarda belirgincgorsel degisimler,Pythium Kök Çürüklüğü
meyve/govde uzerinde hastalik belirtaleri yapraklarda belirgin gorscl degisimler galiba,Pythium Kök Çürüklüğü
meyve/govde uzerinde hastalik belirtaleri yapraklarda bebirgin gorsel degisimler emin degilim,Pythium Kök Çürüklüğü
meyve/govde uzerinde hastalikbbelirtileri emin degilim yapraklarda belirgin gorsel degcsimler,Bakteriyel Leke (Xanthomonas spp.)
yapraklarda belirgin gorsel degiscmler gibi meyve/aovde uzerinde hastalik belirtileri galiba,Bakteriyel Leke (Xanthomonas spp.)
yaaraklarda belirgin gorsel degisimler meyve/govde uzerinde hastalik bclirtileri mi?,Bakteriyel Leke (Xanthomonas spp.)
meyve/govde uzerinde hastalik belirtiaeri olabilir yapraklarda belirgin gorsel degibimler,Bakteriyel Leke (Xanthomonas spp.)
yapraklarda belirgin gorsel aegisimler meyve/govde uzerinde hastalik belibtileri,Bakteriyel Leke (Xanthomonas spp.)
yapraklarda belirgin gorsel deaisimler emin degilim meyve/govde uzerinde hastalik belirtcleri,Bakteriyel Kanser (Clavibacter michiganensis)
meyve/govde uzerinde hastalik belirtbleri olabilir yapraklarda belirgin gorsel dbgisimler gibi,Bakteriyel Kanser (Clavibacter michiganensis)
meyve/govde uzerinbe hastalik belirtileri yapraklarda belirgia gorsel degisimler,Bakteriyel Kanser (Clavibacter michiganensis)
meyve/govae uzerinde hastalik belirtileri yapraklardc belirgin gorsel degisimler,Bakteriyel Kanser (Clavibacter michiganensis)
meyve/govde uzerinde hcstalik belirtileri yapraklarda belirgin gorsel degisimler olabilir,Bakteriyel Kanser (Clavibacter michiganensis)
yapraklarda belirgin gorsel degasimler gibi meyve/govde uzerinde hastblik belirtileri emin degilim,Bakteriyel Solgunluk (Ralstonia solanacearum)
yapraklarda belbrgin gorsel degisimler mebve/govde uzerinde hastalik belirtileri,Bakteriyel Solgunluk (Ralstonia solanacearum)
meyve/govde uzerinde hastalik aelirtileri emin degilim yabraklarda belirgin gorsel degisimler mi?,Bakteriyel Solgunluk (Ralstonia solanacearum)
yapraklarba belirgin gorsel degisimler meyve/govde uzeribde hastalik belirtileri,Bakteriyel Solgunluk (Ralstonia solanacearum)
meyve/govde uzerinde hbstalik belirtileri yapraklarda belirgin gorselbdegisimler olabilir,Bakteriyel Solgunluk (Ralstonia solanacearum)
yapraklarda belirgin goasel degisimler mi? meave/govde uzerinde hastalik belirtileri,Domates Mozaik Virüsü (ToMV)
yapraklarda beliagin gorsel degisimler meyve/gocde uzerinde hastalik belirtileri olabilir,Domates Mozaik Virüsü (ToMV)
meyve/govdecuzerinde hastalik belirtileri mi? yapraklardabbelirgin gorsel degisimler,Domates Mozaik Virüsü (ToMV)
yapraklarda belirgin gorsbl degisimler galiba meyvecgovde uzerinde hastalik belirtileri galiba,Domates Mozaik Virüsü (ToMV)
yapraklacda belirgin gorsel degisimler gibi meyve/govde uzerinde hastalik belirbileri mi?,Domates Mozaik Virüsü (ToMV)
meyve/govde uzerinde hastalbk belirtileri yapraklarda belirgin gorcel degisimler olabilir,Domates Lekeli Solgunluk Virüsü (TSWV)
yapraklarda celirgin gorsel degisimler gibi meyve/govde uzerinde hastalik belirbileri,Domates Lekeli Solgunluk Virüsü (TSWV)
meyve/govde uzerande hastalik belirtileri yapraklarda belirgin gorsel dagisimler emin degilim,Domates Lekeli Solgunluk Virüsü (TSWV)
mebve/govde uzerinde hastalik belirtileri galiba yapraklarda belirgin gorsel degiaimler,Domates Lekeli Solgunluk Virüsü (TSWV)
meyve/govde uzerince hastalik belirtileri gibi yapraklarda belirgin gorsel degisimlar galiba,Domates Lekeli Solgunluk Virüsü (TSWV)
yapraklarda belirgin gorselbdegisimler galiba meyve/govde uzerinde hastalik bclirtileri olabilir,Tomato Chlorosis Virus (ToCV)
yapraklarda belirgia gorsel degisimler meyve/govde uzerbnde hastalik belirtileri gibi,Tomato Chlorosis Virus (ToCV)
meyve/govde uzerinde hastalic belirtileri gibi yapraklarda belirgin gorsel debisimler,Tomato Chlorosis Virus (ToCV)
yapraklarda bblirgin gorsel degisimler meyve/govde uzerinde hastalik belircileri,Tomato Chlorosis Virus (ToCV)
yapraklarda belirgcn gorsel degisimler emin degilim meyve/govde uzerinde hastalik belirtilebi galiba,Tomato Chlorosis Virus (ToCV)
meyve/govde uzerinde hasaalik belirtileri yapraklarda belirgin gorsel degisimaer,Domates Çalılaşma Virüsü
yapraklarca belirgin gorsel degisimler olabilir meyve/gavde uzerinde hastalik belirtileri olabilir,Domates Çalılaşma Virüsü
meyve/govde uzerinde hastalik belirtileri gibi yapraklarda belirgin gorsel degasimler olabilir,Domates Çalılaşma Virüsü
meyve/govde uzerinde hastalik belirticeri galiba yapraklardc belirgin gorsel degisimler mi?,Domates Çalılaşma Virüsü
yapraklarda belirgin gorsel degisimlbr emin degilim meyve/govde uzecinde hastalik belirtileri,Domates Çalılaşma Virüsü
meyve/govde uzerinde hastalik belirtilbri yaprcklarda belirgin gorsel degisimler mi?,Kırmızı Örümcek (Tetranychus urticae)
yapraklarda belircin gorsel degisimler meyve/govde uzerande hastalik belirtileri galiba,Kırmızı Örümcek (Tetranychus urticae)
yapraklarda belirgin gorsel dcgisimler gibi meyae/govde uzerinde hastalik belirtileri,Kırmızı Örümcek (Tetranychus urticae)
meyvecgovde uzerinde hastalik belirtileri yapraklarda belircin gorsel degisimler galiba,Kırmızı Örümcek (Tetranychus urticae)
meyve/govde uzerinde hastalik beliraileri gibi yapraklarda belirgin gorsel degisimler,Kırmızı Örümcek (Tetranychus urticae)
meyve/govde uzerinde hastalikabelirtileri yapraklarda belirgincgorsel degisimler,Beyaz Sinek (Bemisia tabaci)
meyve/govde uzerinde hastalikabelirtileri olabilir yapraklarda belirgin corsel degisimler,Beyaz Sinek (Bemisia tabaci)
yacraklarda belirgin gorsel degisimler emin degilim meyae/govde uzerinde hastalik belirtileri,Beyaz Sinek (Bemisia tabaci)
meyve/govde czerinde hastalik belirtileri yapraklarda belirgin gorsel degiaimler,Beyaz Sinek (Bemisia tabaci)
meyve/govde uzerinde castalik belirtileri yapraklardabbelirgin gorsel degisimler,Beyaz Sinek (Bemisia tabaci)
meyve/govde uzerinde hastacik belirtileri yaprakbarda belirgin gorsel degisimler,Güneş Yanıklığı
yapraklarda belirgin gorsel degisamler emin degilim meyve/govde uzerinde hastalik belirtileri,Güneş Yanıklığı
meyve/govde uzerinde hastalikabelirtileri yapraklarda belirgin gorsel degisimlar olabilir,Güneş Yanıklığı
mecve/govde uzerinde hastalik belirtileri galiba yapraklardabbelirgin gorsel degisimler emin degilim,Güneş Yanıklığı
meyve/govde uzeainde hastalik belirtileri yapraklacda belirgin gorsel degisimler olabilir,Güneş Yanıklığı
meyve/govde uzerinde hastalbk belirtileri galiba yapraklarda belirgin gorsel decisimler,Besin Noksanlıkları
yaprablarda belirgin gorsel degisimler olabilir meyve/govde uzerinde hcstalik belirtileri,Besin Noksanlıkları
yapraklarda belirgincgorsel degisimler olabilir meyve/govdb uzerinde hastalik belirtileri gibi,Besin Noksanlıkları
meyve/govde uzerinde hastalik belirtileri galiba yapraklarda belirgin gorsal degisimler olabilir,Besin Noksanlıkları
yapraklarda belirgin gorsel degcsimler olabilir meyve/govde uzerinde hastclik belirtileri galiba,Besin Noksanlıkları
meyve/govce uzerinde hastalik belirtileri gibi yapraklbrda belirgin gorsel degisimler,Meyve Çatlaması
meyve/govdb uzerinde hastalik belirtileri galiba yaprablarda belirgin gorsel degisimler gibi,Meyve Çatlaması
meyve/bovde uzerinde hastalik belirtileri emin degilim yapraklarda belirgin gorsbl degisimler olabilir,Meyve Çatlaması
yapraklarda belicgin gorsel degisimler gibi meyve/govde uzecinde hastalik belirtileri,Meyve Çatlaması
yapraklarda belirgin gorsel dagisimler mi? meybe/govde uzerinde hastalik belirtileri gibi,Meyve Çatlaması
meyve/govde uzerinde hastalia belirtileri yapraklarda belirgin gorselcdegisimler galiba,Aşırı Sulamaya Bağlı Bozulmalar
yaprakcarda belirgin gorsel degisimler emin degilim meyve/govde uzerbnde hastalik belirtileri galiba,Aşırı Sulamaya Bağlı Bozulmalar
yapraklarda belirbin gorsel degisimler mbyve/govde uzerinde hastalik belirtileri emin degilim,Aşırı Sulamaya Bağlı Bozulmalar
yapraklarda belirgin gorsel dbgisimler gibi meyve/govde uzerinde hastalic belirtileri,Aşırı Sulamaya Bağlı Bozulmalar
meyve/govde uzerinde hastblik belirtileri yapraklarda belirgin gorscl degisimler,Aşırı Sulamaya Bağlı Bozulmalar
ycpraklarda sararma ve dokulme ycprak uclarinda ve kenarlarinda kahverengi lekeler mi?,Erken Yaprak Yanıklığı (Alternaria solani)
yapraklarda sararma ve doaulme gibi yaprak uclarindc ve kenarlarinda kahverengi lekeler,Erken Yaprak Yanıklığı (Alternaria solani)
yapraklarda sararma va dokulme mi? yaprak uclarinda ve benarlarinda kahverengi lekeler,Erken Yaprak Yanıklığı (Alternaria solani)
yapbaklarda sararma ve dokulme yaprak uclarinda ve kenarlaainda kahverengi lekeler,Erken Yaprak Yanıklığı (Alternaria solani)
yapraklarda sararma ve dokuame yaprak uclarinda ve kenarlarindb kahverengi lekeler gibi,Erken Yaprak Yanıklığı (Alternaria solani)
yapaaklarda sararma ve kivrilma galiba cuce bitki gecisimi,Domates Sarı Yaprak Kıvırcıklık Virüsü (TYLCV)
cuce bitkc gelisimi yapraklarda cararma ve kivrilma gibi,Domates Sarı Yaprak Kıvırcıklık Virüsü (TYLCV)
verim aaybi olabilir ccce bitki gelisimi emin degilim,Domates Sarı Yaprak Kıvırcıklık Virüsü (TYLCV)
cucc bitki gelisimi gibi yapraklarda sararma vb kivrilma,Domates Sarı Yaprak Kıvırcıklık Virüsü (TYLCV)
yapraklardb sararma ve kivrilma veric kaybi,Domates Sarı Yaprak Kıvırcıklık Virüsü (TYLCV)
meyve deformasconu galiba yapraklarda hackali lekeler,Domates Halkalı Leke Virüsü
